                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5374,                 5.0214,                 2.0519,                0.81962,                0.77736,                 0.8228,                0.57833,                 1.0084,                0.66067,                 1.1194,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 2.0922,                 3.4937,                 1.6791,                0.39158,                0.39987,                0.26465,                0.08909,                 2.4001,                 2.6283,                 2.1708,             0.00014439,             0.00014439,             0.00014439
                      3,                  1.757,                 1.8202,                 1.3947,                0.15756,                0.41675,                0.11856,                0.03209,                 2.2193,                 3.6785,                 2.0423,             0.00022198,             0.00022198,             0.00022198
                      4,                 1.6176,                 1.5079,                 1.3168,                0.12591,                0.28475,                0.08371,                0.02007,                 2.4803,                 3.4755,                 2.2809,             0.00029931,             0.00029931,             0.00029931
                      5,                 1.6052,                 1.3221,                 1.3134,                 0.1549,                0.19919,                0.08711,                0.02088,                 2.5437,                 3.4145,                 2.3406,             0.00037627,             0.00037627,             0.00037627
                      6,                 1.5743,                 1.2633,                 1.2936,                0.14666,                0.17493,                0.08211,                0.01949,                 2.6369,                  3.393,                 2.4905,             0.00045273,             0.00045273,             0.00045273
                      7,                 1.5694,                 1.2241,                 1.2976,                0.10104,                0.20174,                0.06112,                0.01575,                 2.4502,                 3.4184,                 2.3155,              0.0005286,              0.0005286,              0.0005286
                      8,                 1.5221,                 1.1947,                 1.2621,                0.12549,                0.25495,                0.08485,                0.02029,                 2.4142,                 3.3836,                  2.273,             0.00060377,             0.00060377,             0.00060377
                      9,                 1.5038,                 1.1117,                  1.272,                0.17113,                0.13707,                0.09406,                0.02185,                 2.6487,                 3.4687,                 2.5281,             0.00067811,             0.00067811,             0.00067811
                     10,                 1.5575,                 1.1033,                 1.3155,                0.21413,                0.18908,                0.12769,                0.03832,                 2.2501,                 3.3985,                  2.109,             0.00075152,             0.00075152,             0.00075152
                     11,                 1.5624,                 1.1588,                  1.329,                0.18269,                 0.1967,                0.09265,                0.02741,                 2.1421,                 3.3874,                 2.0265,              0.0008239,              0.0008239,              0.0008239
                     12,                 1.5909,                 1.1111,                 1.2914,                0.16444,                0.19634,                0.08365,                0.02392,                 2.3073,                 3.5158,                  2.136,             0.00089514,             0.00089514,             0.00089514
                     13,                 1.5571,                 1.0926,                 1.2786,                0.13538,                0.11677,                0.05122,                  0.014,                 2.3832,                 3.7183,                 2.2328,             0.00096514,             0.00096514,             0.00096514
                     14,                 1.5367,                 1.1015,                  1.298,                0.16016,                0.23019,                0.07302,                0.02061,                 2.3348,                 3.7301,                 2.2709,              0.0010338,              0.0010338,              0.0010338
                     15,                 1.5232,                 1.0248,                 1.2755,                  0.152,                0.21348,                0.07454,                0.01902,                 2.5009,                 4.1009,                   2.41,              0.0010587,              0.0010587,              0.0010587
                     16,                 1.5281,                 1.0879,                 1.2792,                0.14543,                0.22043,                0.05334,                0.01388,                 2.6429,                  3.912,                 2.4392,              0.0010511,              0.0010511,              0.0010511
