                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2973,                0.72568,                 1.1755,                0.79781,                0.83561,                0.84932,                0.39473,                 1.8221,                0.99265,                 1.5788,             0.00097736,             0.00097736,             0.00097736
                     36,                 1.3424,                0.73592,                 1.1548,                0.77606,                0.74118,                0.79921,                 0.4176,                 1.6178,                 1.0905,                 1.4579,             0.00096974,             0.00096974,             0.00096974
                     37,                 1.2948,                0.72106,                 1.1795,                0.80727,                0.77297,                0.82794,                0.42765,                 1.6427,                 1.0366,                 1.4526,             0.00096195,             0.00096195,             0.00096195
                     38,                 1.3154,                0.74189,                 1.1911,                0.80388,                0.85965,                0.87561,                0.44484,                 1.6179,                0.96946,                 1.4385,             0.00095398,             0.00095398,             0.00095398
                     39,                 1.3107,                0.74424,                 1.1741,                0.81964,                0.84747,                0.86281,                0.43708,                 1.6536,                0.92215,                 1.4788,             0.00094583,             0.00094583,             0.00094583
                     40,                 1.3568,                0.74587,                 1.1715,                 0.8845,                0.84213,                0.87762,                0.45112,                 1.6309,                 0.9277,                 1.4201,             0.00093752,             0.00093752,             0.00093752
                     41,                 1.3358,                0.73837,                 1.1622,                0.83185,                0.88876,                0.90698,                0.46974,                 1.6499,                0.85477,                 1.4472,             0.00092904,             0.00092904,             0.00092904
                     42,                 1.2998,                0.70957,                 1.1539,                 0.8389,                0.87168,                0.86629,                0.44104,                 1.6699,                0.87876,                 1.4475,              0.0009204,              0.0009204,              0.0009204
                     43,                 1.3155,                0.70345,                 1.1557,                0.82941,                0.85186,                0.86333,                0.45433,                 1.5712,                0.87713,                 1.3666,              0.0009116,              0.0009116,              0.0009116
                     44,                 1.3884,                 0.7223,                 1.2307,                0.81709,                0.87105,                0.87362,                0.41912,                 1.8411,                0.96855,                 1.5492,             0.00090265,             0.00090265,             0.00090265
                     45,                  1.363,                 0.7128,                 1.1988,                0.79733,                0.87545,                0.84804,                0.38304,                  1.853,                0.94553,                 1.5186,             0.00089355,             0.00089355,             0.00089355
