                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0207,                0.71478,                  1.217,                0.91803,                0.62235,                0.77706,                 0.5942,                 1.0604,                0.64979,                 1.1816,             0.00082599,             0.00082599,             0.00082599
                     36,                 1.0165,                0.70951,                 1.2148,                0.92603,                0.62416,                0.78003,                0.60274,                 1.0416,                0.63046,                  1.174,             0.00081072,             0.00081072,             0.00081072
                     37,                 1.0046,                0.69665,                 1.2043,                 0.9285,                0.61606,                0.77687,                0.59497,                 1.0557,                0.63684,                 1.1715,             0.00079521,             0.00079521,             0.00079521
                     38,                 1.0064,                0.69468,                  1.204,                0.91612,                0.63955,                0.78485,                0.59751,                 1.0502,                0.62946,                 1.1726,             0.00077946,             0.00077946,             0.00077946
                     39,                 1.0048,                0.69644,                 1.2045,                0.88388,                0.65177,                0.77368,                0.59914,                  1.037,                0.62833,                 1.1738,              0.0007635,              0.0007635,              0.0007635
                     40,                0.99984,                0.68868,                 1.2003,                0.91727,                0.63423,                0.78216,                 0.6039,                 1.0249,                0.62711,                 1.1651,             0.00074734,             0.00074734,             0.00074734
                     41,                0.99755,                0.68973,                 1.2038,                 0.9168,                0.62535,                0.77712,                0.59586,                 1.0413,                0.62574,                 1.1693,               0.000731,               0.000731,               0.000731
                     42,                 0.9937,                0.67709,                 1.1987,                0.91755,                0.63293,                0.77916,                 0.6019,                 1.0401,                0.62171,                 1.1708,             0.00071448,             0.00071448,             0.00071448
                     43,                0.98268,                 0.6775,                 1.1926,                0.91807,                0.62729,                0.77771,                0.59669,                 1.0559,                0.61974,                 1.1706,             0.00069782,             0.00069782,             0.00069782
                     44,                0.97653,                0.66697,                 1.1879,                0.89938,                0.65409,                0.78341,                 0.6058,                 1.0149,                0.61928,                 1.1592,             0.00068102,             0.00068102,             0.00068102
                     45,                0.97931,                0.66906,                  1.188,                 0.9292,                0.63023,                0.78659,                0.60719,                 1.0315,                0.62026,                 1.1686,              0.0006641,              0.0006641,              0.0006641
                     46,                 0.9741,                0.66558,                 1.1874,                0.92074,                0.62875,                0.78027,                0.60227,                 1.0221,                 0.6212,                 1.1618,             0.00064709,             0.00064709,             0.00064709
                     47,                0.96967,                0.65645,                 1.1816,                0.90109,                0.66675,                0.79182,                0.61231,                 1.0235,                0.60993,                 1.1577,             0.00062998,             0.00062998,             0.00062998
                     48,                0.97575,                0.65864,                  1.183,                0.90091,                0.66474,                0.79132,                 0.6004,                 1.0578,                0.61124,                 1.1703,             0.00061281,             0.00061281,             0.00061281
                     49,                0.96003,                0.65144,                 1.1782,                0.89789,                0.66402,                0.78639,                0.60384,                 1.0183,                 0.6103,                  1.159,             0.00059559,             0.00059559,             0.00059559
                     50,                0.96143,                0.64893,                 1.1788,                0.90652,                0.64564,                0.78136,                0.60413,                  1.018,                0.60476,                 1.1561,             0.00057833,             0.00057833,             0.00057833
                     51,                0.95295,                0.64573,                 1.1726,                0.92271,                0.64911,                0.79292,                0.61498,                 1.0173,                0.60432,                 1.1602,             0.00056106,             0.00056106,             0.00056106
                     52,                 0.9483,                0.64102,                 1.1698,                0.90405,                0.66438,                0.79147,                 0.6113,                 1.0157,                 0.6034,                 1.1478,             0.00054378,             0.00054378,             0.00054378
                     53,                0.94711,                0.63172,                 1.1688,                0.91471,                0.64319,                0.78501,                0.61247,                  1.005,                0.60371,                  1.152,             0.00052652,             0.00052652,             0.00052652
                     54,                0.93713,                0.62756,                 1.1618,                0.91574,                0.63143,                0.77844,                0.60946,                0.99627,                0.60539,                 1.1458,              0.0005093,              0.0005093,              0.0005093
                     55,                 0.9371,                0.62918,                 1.1613,                0.90982,                0.65175,                0.78491,                0.60813,                 1.0072,                0.59885,                 1.1539,             0.00049213,             0.00049213,             0.00049213
                     56,                0.93703,                0.62646,                 1.1631,                0.90324,                0.66005,                0.78569,                 0.6144,                0.99473,                0.58883,                 1.1472,             0.00047502,             0.00047502,             0.00047502
                     57,                0.92611,                0.61625,                 1.1545,                0.91211,                0.64895,                0.78596,                0.60861,                  1.009,                0.60453,                 1.1474,             0.00045801,             0.00045801,             0.00045801
                     58,                 0.9243,                0.61545,                 1.1493,                0.91462,                 0.6649,                0.79535,                 0.6174,                0.99666,                0.59074,                 1.1434,             0.00044109,             0.00044109,             0.00044109
                     59,                0.92258,                0.61262,                 1.1517,                0.91472,                0.66234,                0.79455,                0.61842,                0.99979,                0.59664,                 1.1486,             0.00042429,             0.00042429,             0.00042429
