                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.677,                 4.2666,                 1.8855,                0.13112,                0.10462,                0.09855,                0.02604,                 2.8464,                 3.9733,                 2.0003,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.6799,                 4.2986,                 1.8863,                0.13407,                0.10769,                0.09679,                0.02579,                 2.8402,                 3.9539,                  1.989,             5.5536e-05,             5.5536e-05,             5.5536e-05
                      3,                 2.7348,                 4.3155,                 1.9126,                0.56723,                0.14131,                0.15573,                0.05248,                 2.6065,                 3.1663,                 1.8214,             8.8793e-05,             8.8793e-05,             8.8793e-05
                      4,                  2.233,                 2.6986,                 1.5957,                0.65695,                 0.3195,                0.28939,                 0.1177,                 2.1318,                 2.1479,                 1.5231,             0.00012194,             0.00012194,             0.00012194
                      5,                 1.8801,                 1.7407,                 1.3536,                0.55515,                0.55136,                0.53543,                0.22903,                 1.9967,                 1.8855,                 1.4404,             0.00015493,             0.00015493,             0.00015493
                      6,                 1.7812,                 1.3735,                 1.2996,                0.71092,                0.64725,                0.71107,                0.33062,                  1.842,                 1.4989,                 1.3738,             0.00018772,             0.00018772,             0.00018772
                      7,                 1.6847,                 1.2224,                 1.2337,                0.80798,                0.70278,                0.77256,                0.34997,                 1.8016,                 1.3647,                  1.378,             0.00022025,             0.00022025,             0.00022025
                      8,                 1.5923,                 1.0581,                 1.2388,                 0.8377,                0.66049,                 0.7659,                 0.3626,                 1.8005,                 1.1675,                 1.3725,             0.00025248,             0.00025248,             0.00025248
                      9,                 1.5378,                0.95069,                 1.1948,                0.78473,                 0.6194,                0.72003,                0.32042,                 1.8591,                 1.2452,                 1.4034,             0.00028437,             0.00028437,             0.00028437
                     10,                 1.5579,                0.94096,                 1.2048,                0.67786,                0.57429,                0.63891,                0.30548,                 1.8443,                 1.6848,                 1.3905,             0.00031586,             0.00031586,             0.00031586
                     11,                 1.5295,                0.89263,                 1.1786,                0.66033,                 0.4637,                0.55232,                0.26144,                 1.8851,                 2.0322,                 1.4193,             0.00034691,             0.00034691,             0.00034691
                     12,                 1.4901,                0.86157,                 1.1638,                0.64231,                0.60046,                0.62119,                0.28627,                 1.9072,                 1.7059,                 1.4407,             0.00037747,             0.00037747,             0.00037747
                     13,                 1.4337,                0.82618,                 1.1439,                 0.6477,                0.61829,                0.65952,                0.32438,                 1.8603,                   1.61,                 1.4028,              0.0004075,              0.0004075,              0.0004075
                     14,                 1.4358,                0.79043,                 1.1504,                0.74679,                0.51747,                0.61891,                0.27986,                 1.9782,                 1.8711,                 1.4717,             0.00043697,             0.00043697,             0.00043697
                     15,                 1.4654,                0.79371,                 1.1497,                0.64637,                0.48794,                0.55327,                0.22124,                 2.1375,                 1.8708,                 1.5475,             0.00046581,             0.00046581,             0.00046581
                     16,                 1.4634,                0.80627,                 1.1355,                0.68162,                0.46485,                0.54468,                0.21335,                 2.0827,                  2.057,                 1.4909,               0.000494,               0.000494,               0.000494
                     17,                 1.3828,                 0.7738,                 1.1139,                0.60506,                0.55577,                0.51974,                0.21512,                 2.0433,                 1.9129,                 1.4631,             0.00052149,             0.00052149,             0.00052149
                     18,                 1.3781,                0.73593,                 1.1191,                0.62163,                 0.5088,                0.54036,                0.21794,                 2.1622,                 1.8038,                 1.5494,             0.00054824,             0.00054824,             0.00054824
                     19,                 1.3552,                0.72526,                 1.0817,                0.65552,                0.49999,                0.53922,                0.19566,                 2.3387,                 1.9235,                 1.6352,             0.00057422,             0.00057422,             0.00057422
                     20,                 1.3952,                0.71352,                 1.1149,                0.79219,                0.64957,                0.69625,                0.27905,                 2.0878,                 1.3953,                 1.4908,             0.00059938,             0.00059938,             0.00059938
                     21,                 1.3727,                0.71896,                  1.109,                0.69263,                0.52137,                0.57216,                0.20365,                 2.2065,                 1.8086,                 1.5271,              0.0006237,              0.0006237,              0.0006237
                     22,                 1.3409,                0.70801,                 1.0782,                0.47322,                0.32111,                0.32797,                0.09918,                 2.7122,                 2.1892,                 1.7833,             0.00064714,             0.00064714,             0.00064714
                     23,                 1.5414,                0.77328,                 1.1478,                0.69254,                0.46621,                 0.5232,                0.19115,                 2.2899,                 1.8761,                 1.5266,             0.00066966,             0.00066966,             0.00066966
                     24,                 1.3455,                0.68239,                  1.109,                0.58668,                0.43314,                0.49286,                0.18762,                  2.313,                 1.9244,                 1.5723,             0.00069124,             0.00069124,             0.00069124
                     25,                 1.3674,                0.68222,                  1.102,                0.76326,                0.61898,                0.69942,                0.30428,                 2.0088,                  1.301,                  1.436,             0.00071184,             0.00071184,             0.00071184
                     26,                 1.3299,                0.71435,                 1.0849,                0.75915,                 0.6382,                0.71829,                0.30793,                  1.991,                 1.3552,                 1.4408,             0.00073144,             0.00073144,             0.00073144
                     27,                 1.3422,                0.68598,                 1.0821,                0.74937,                0.60404,                 0.6761,                0.27241,                  2.132,                 1.6156,                 1.5396,             0.00075001,             0.00075001,             0.00075001
                     28,                 1.3487,                0.68383,                 1.1016,                0.77333,                0.60607,                0.70538,                0.31035,                 1.9467,                 1.4631,                 1.4382,             0.00076753,             0.00076753,             0.00076753
                     29,                 1.2995,                0.65015,                 1.0928,                0.82061,                0.62899,                0.74956,                0.35398,                 1.8872,                 1.1581,                 1.4335,             0.00078398,             0.00078398,             0.00078398
                     30,                 1.3435,                0.65825,                 1.0932,                0.82456,                0.59594,                0.69892,                0.29486,                 2.0676,                 1.2584,                 1.5395,             0.00079933,             0.00079933,             0.00079933
                     31,                  1.351,                0.69295,                 1.1206,                0.83404,                0.69849,                0.83516,                0.42086,                 1.7267,                 1.0428,                 1.3357,             0.00081356,             0.00081356,             0.00081356
                     32,                 1.3383,                0.67108,                 1.0977,                0.73203,                0.65151,                0.81728,                0.36338,                 1.8742,                 1.2827,                 1.4256,             0.00082666,             0.00082666,             0.00082666
                     33,                 1.3262,                 0.6772,                 1.0873,                0.77337,                0.62679,                0.77842,                0.40125,                 1.7528,                 1.3579,                 1.3483,             0.00083862,             0.00083862,             0.00083862
                     34,                 1.2666,                0.65271,                 1.0636,                0.76688,                0.71006,                0.81806,                0.37731,                 1.8653,                 1.0379,                 1.3953,               0.000841,               0.000841,               0.000841
                     35,                 1.2606,                0.65029,                 1.0437,                0.76856,                0.69384,                0.80562,                 0.3657,                 1.9069,                  1.032,                 1.4539,             0.00082599,             0.00082599,             0.00082599
                     36,                 1.2851,                0.65742,                 1.0652,                 0.8153,                0.71454,                0.80649,                0.38415,                 1.8272,                0.99774,                 1.3742,             0.00081072,             0.00081072,             0.00081072
                     37,                 1.3229,                0.65016,                 1.0753,                 0.7976,                0.65385,                0.75015,                0.32482,                 2.0106,                 1.0221,                 1.5205,             0.00079521,             0.00079521,             0.00079521
                     38,                 1.3439,                0.65182,                 1.0912,                0.79597,                0.75947,                0.81456,                0.36861,                 1.9093,                 0.9378,                 1.4266,             0.00077946,             0.00077946,             0.00077946
                     39,                  1.297,                0.64364,                   1.07,                0.82017,                 0.7521,                0.82135,                0.32925,                 1.9873,                 1.0316,                 1.4806,              0.0007635,              0.0007635,              0.0007635
                     40,                 1.2558,                 0.6373,                 1.0479,                0.90896,                0.71607,                0.83284,                0.38291,                 1.8588,                0.93103,                 1.4098,             0.00074734,             0.00074734,             0.00074734
                     41,                 1.2617,                0.64284,                 1.0435,                 0.8663,                0.66596,                0.77257,                0.34891,                 1.9695,                 1.1147,                 1.4808,               0.000731,               0.000731,               0.000731
                     42,                 1.2244,                0.60644,                 1.0482,                0.87609,                0.65601,                0.76502,                0.36392,                 1.8986,                 1.1886,                 1.4383,             0.00071448,             0.00071448,             0.00071448
                     43,                 1.1453,                0.59294,                 1.0165,                0.83789,                0.62605,                0.71095,                0.28442,                 2.1086,                 1.1373,                 1.5694,             0.00069782,             0.00069782,             0.00069782
                     44,                 1.1667,                0.58833,                 1.0302,                0.88039,                0.72023,                0.81248,                0.34745,                 1.8858,                0.97468,                 1.4366,             0.00068102,             0.00068102,             0.00068102
                     45,                 1.1145,                0.57933,                 1.0133,                0.80959,                0.64805,                0.71095,                0.30146,                 1.9949,                 1.1197,                 1.5177,              0.0006641,              0.0006641,              0.0006641
                     46,                 1.1327,                0.59705,                 1.0113,                0.83678,                0.67978,                0.74158,                0.30146,                 2.0211,                 1.0558,                 1.5288,             0.00064709,             0.00064709,             0.00064709
                     47,                 1.0952,                0.56426,                0.99381,                0.77775,                0.71375,                0.74794,                0.27616,                 2.2128,                 1.0236,                 1.6475,             0.00062998,             0.00062998,             0.00062998
                     48,                 1.1181,                0.56038,                0.99299,                0.77732,                0.73328,                0.76167,                0.29636,                  2.103,                0.98803,                 1.6554,             0.00061281,             0.00061281,             0.00061281
                     49,                 1.1016,                0.54496,                0.99218,                0.79881,                0.76407,                0.81227,                0.32024,                 2.0838,                0.94432,                 1.6305,             0.00059559,             0.00059559,             0.00059559
                     50,                 1.0813,                0.54106,                0.98181,                0.83463,                0.78313,                0.80436,                0.35551,                 1.9719,                0.83845,                  1.551,             0.00057833,             0.00057833,             0.00057833
                     51,                 1.1052,                0.56341,                 1.0092,                0.85636,                0.78628,                0.81758,                0.35799,                 1.9325,                0.82437,                 1.5072,             0.00056106,             0.00056106,             0.00056106
                     52,                 1.0441,                0.53349,                0.98021,                0.87321,                0.79311,                0.81764,                0.35567,                 1.9601,                0.83477,                 1.5337,             0.00054378,             0.00054378,             0.00054378
                     53,                 1.0453,                 0.5296,                0.98006,                0.84476,                0.76952,                0.77703,                0.33581,                 1.9926,                0.84192,                 1.5552,             0.00052652,             0.00052652,             0.00052652
                     54,                 1.0443,                 0.5408,                0.98355,                0.77288,                0.75516,                0.73848,                0.31369,                 2.0264,                 0.8454,                 1.5685,              0.0005093,              0.0005093,              0.0005093
                     55,                 1.0567,                0.53177,                0.97074,                0.79531,                0.68731,                 0.7256,                0.24795,                 2.2941,                0.92194,                 1.7135,             0.00049213,             0.00049213,             0.00049213
                     56,                  1.034,                0.51458,                0.96887,                0.77781,                0.71734,                0.71149,                0.26066,                 2.2121,                0.87113,                 1.6576,             0.00047502,             0.00047502,             0.00047502
                     57,                  1.039,                0.52317,                0.97135,                0.78979,                0.71442,                0.73526,                0.25404,                  2.308,                0.89545,                 1.6957,             0.00045801,             0.00045801,             0.00045801
                     58,                 1.0116,                0.50196,                0.96504,                0.78357,                0.80833,                0.79119,                0.31537,                 2.1274,                0.80789,                 1.6224,             0.00044109,             0.00044109,             0.00044109
                     59,                 1.0021,                0.50103,                0.95896,                0.81313,                0.72223,                 0.7472,                0.27303,                 2.2572,                0.84484,                 1.7051,             0.00042429,             0.00042429,             0.00042429
                     60,                  1.041,                0.50782,                0.96772,                0.84668,                0.73968,                0.76695,                0.28611,                 2.1697,                  0.817,                 1.6164,             0.00040763,             0.00040763,             0.00040763
                     61,                0.96775,                 0.5075,                0.94766,                0.72472,                0.66213,                0.63691,                 0.2223,                 2.3499,                0.90453,                 1.7752,             0.00039111,             0.00039111,             0.00039111
                     62,                0.94188,                0.48113,                0.94009,                0.86936,                0.78423,                0.80817,                0.30471,                 2.1006,                0.81402,                 1.5964,             0.00037477,             0.00037477,             0.00037477
                     63,                0.94598,                0.47721,                0.94584,                0.80793,                0.71669,                 0.7091,                0.25269,                 2.3321,                0.87497,                 1.7424,             0.00035861,             0.00035861,             0.00035861
                     64,                0.96818,                0.48607,                0.94388,                0.88203,                0.78395,                0.82806,                0.32638,                 2.0978,                0.78252,                 1.6028,             0.00034265,             0.00034265,             0.00034265
                     65,                0.97251,                0.48449,                0.94336,                0.86289,                0.75937,                0.80544,                0.29976,                 2.1565,                0.77973,                 1.6592,              0.0003269,              0.0003269,              0.0003269
                     66,                0.93131,                0.47525,                0.93692,                0.83074,                 0.7694,                0.81134,                0.31322,                 2.1386,                0.78067,                 1.6519,             0.00031139,             0.00031139,             0.00031139
                     67,                0.95437,                0.47752,                0.93616,                0.88976,                0.79501,                0.85629,                 0.3343,                 2.1049,                0.76214,                 1.6085,             0.00029612,             0.00029612,             0.00029612
                     68,                0.92895,                0.47735,                0.94084,                 0.8524,                0.76483,                0.80045,                0.29556,                   2.25,                0.80602,                 1.7155,             0.00028111,             0.00028111,             0.00028111
                     69,                0.88266,                0.45328,                0.92629,                0.89351,                0.80887,                0.84485,                0.36284,                 1.9756,                0.73468,                 1.5475,             0.00026638,             0.00026638,             0.00026638
                     70,                0.90195,                0.44989,                0.93226,                0.85079,                0.77347,                0.79579,                0.30867,                 2.1181,                 0.7909,                 1.6188,             0.00025194,             0.00025194,             0.00025194
                     71,                0.90817,                0.44603,                0.92744,                0.86657,                0.80455,                0.81375,                0.32795,                 2.0547,                0.74596,                 1.5785,             0.00023781,             0.00023781,             0.00023781
                     72,                0.84475,                0.43593,                0.91473,                0.87865,                0.81438,                0.82212,                0.32078,                  2.117,                0.77568,                 1.6216,             0.00022399,             0.00022399,             0.00022399
                     73,                 0.8453,                0.43372,                0.90952,                0.84135,                0.75284,                0.75225,                 0.2705,                  2.322,                 0.8348,                 1.7479,             0.00021051,             0.00021051,             0.00021051
                     74,                0.84614,                0.43339,                0.90345,                0.82964,                0.74284,                0.74463,                0.27857,                 2.2771,                0.81585,                 1.7214,             0.00019737,             0.00019737,             0.00019737
                     75,                0.82569,                 0.4269,                0.89984,                0.85952,                0.78488,                0.78447,                 0.2954,                  2.202,                0.79194,                 1.6942,             0.00018459,             0.00018459,             0.00018459
                     76,                0.80646,                0.42457,                0.90152,                0.80447,                0.75911,                0.75848,                0.30089,                  2.214,                0.80384,                 1.7115,             0.00017219,             0.00017219,             0.00017219
                     77,                0.82113,                0.42261,                0.90798,                0.81709,                0.74954,                 0.7756,                0.31348,                 2.1769,                0.79297,                 1.6608,             0.00016016,             0.00016016,             0.00016016
                     78,                0.81375,                0.42016,                0.90834,                0.83672,                0.74488,                0.77723,                0.29448,                 2.2534,                0.79691,                 1.7132,             0.00014854,             0.00014854,             0.00014854
                     79,                0.78884,                0.41851,                0.88883,                0.84419,                0.75799,                0.78081,                0.30621,                 2.1814,                0.76159,                 1.6844,             0.00013732,             0.00013732,             0.00013732
                     80,                0.76793,                0.40422,                0.89066,                0.82623,                 0.7492,                0.77663,                0.28858,                 2.2889,                0.79818,                 1.7565,             0.00012651,             0.00012651,             0.00012651
                     81,                0.77462,                0.41654,                0.88863,                0.75519,                0.74768,                0.73856,                0.26767,                 2.3754,                0.82912,                 1.8027,             0.00011614,             0.00011614,             0.00011614
                     82,                0.76964,                0.40813,                0.88772,                0.78806,                0.76603,                 0.7572,                0.29337,                 2.2636,                0.78837,                 1.7208,             0.00010621,             0.00010621,             0.00010621
                     83,                0.79196,                0.41465,                0.89112,                0.82192,                 0.7445,                0.76285,                0.30009,                 2.2157,                0.76607,                 1.7014,             9.6721e-05,             9.6721e-05,             9.6721e-05
                     84,                0.76985,                0.41829,                0.89992,                0.81864,                0.75307,                0.76548,                0.29905,                 2.2143,                 0.7668,                 1.7146,             8.7694e-05,             8.7694e-05,             8.7694e-05
                     85,                0.75116,                0.40477,                0.88542,                0.84393,                 0.7728,                0.78781,                 0.3144,                 2.1829,                0.75872,                 1.6945,             7.9135e-05,             7.9135e-05,             7.9135e-05
                     86,                0.74405,                 0.3947,                0.88422,                0.83513,                0.77233,                 0.7895,                0.31459,                 2.1904,                0.75945,                 1.6879,              7.105e-05,              7.105e-05,              7.105e-05
                     87,                0.76931,                 0.4103,                0.87845,                0.82791,                0.77294,                0.78471,                0.30729,                  2.199,                0.76598,                 1.6871,              6.345e-05,              6.345e-05,              6.345e-05
                     88,                0.73443,                0.39358,                0.87692,                0.82435,                0.77165,                0.78196,                0.29966,                 2.2217,                0.77806,                 1.7059,              5.634e-05,              5.634e-05,              5.634e-05
                     89,                0.74897,                0.39691,                0.88874,                0.82212,                0.77303,                0.78561,                0.30128,                 2.2218,                0.77257,                 1.7062,             4.9729e-05,             4.9729e-05,             4.9729e-05
                     90,                0.75616,                0.40719,                0.87759,                0.82405,                0.77357,                0.78786,                0.30655,                 2.1997,                0.76539,                 1.6915,             4.3622e-05,             4.3622e-05,             4.3622e-05
                     91,                 0.7535,                0.41177,                0.88281,                0.83889,                0.76567,                0.78598,                0.30638,                 2.2092,                0.76455,                 1.7008,             3.8026e-05,             3.8026e-05,             3.8026e-05
                     92,                0.74162,                0.38828,                0.87072,                 0.8457,                0.75792,                0.78084,                0.29776,                 2.2275,                0.76145,                 1.7191,             3.2946e-05,             3.2946e-05,             3.2946e-05
                     93,                0.73181,                0.37664,                0.86509,                0.84281,                0.76405,                0.78864,                0.29625,                 2.2494,                0.76785,                 1.7411,             2.8388e-05,             2.8388e-05,             2.8388e-05
                     94,                0.72548,                0.37637,                0.86849,                0.85397,                0.76661,                0.79379,                0.30405,                 2.2263,                0.76016,                 1.7268,             2.4354e-05,             2.4354e-05,             2.4354e-05
                     95,                0.72825,                0.37832,                0.87826,                0.86077,                0.76028,                0.79934,                0.30979,                 2.1959,                0.75112,                 1.7082,             2.0851e-05,             2.0851e-05,             2.0851e-05
                     96,                0.69396,                0.36365,                0.85937,                0.84966,                0.77202,                0.79447,                0.31516,                  2.181,                0.74887,                 1.7013,             1.7881e-05,             1.7881e-05,             1.7881e-05
                     97,                 0.6791,                0.36242,                0.85372,                 0.8504,                0.77202,                0.79408,                0.31524,                 2.1789,                0.75001,                 1.7019,             1.5446e-05,             1.5446e-05,             1.5446e-05
                     98,                0.71898,                0.37497,                0.86575,                0.84157,                0.76202,                0.78236,                 0.3137,                 2.1865,                 0.7569,                 1.7102,             1.3551e-05,             1.3551e-05,             1.3551e-05
                     99,                0.70471,                0.36628,                0.85621,                0.84047,                0.76156,                0.78007,                0.30653,                 2.2101,                0.76129,                 1.7296,             1.2195e-05,             1.2195e-05,             1.2195e-05
                    100,                0.69052,                0.37194,                0.85978,                0.84206,                0.75949,                0.77806,                0.29944,                 2.2338,                0.77087,                 1.7472,             1.1381e-05,             1.1381e-05,             1.1381e-05
