                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5374,                 5.0214,                 2.0519,                0.34789,                0.21529,                0.22064,                 0.0683,                 2.0598,                 3.6102,                 1.7758,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 2.0923,                 3.4937,                 1.6794,                0.22843,                0.47695,                0.24256,                  0.118,                 1.6927,                 2.5431,                 1.3287,             0.00014443,             0.00014443,             0.00014443
                      3,                 1.7577,                 1.8191,                 1.3954,                0.35386,                0.57678,                 0.3764,                0.17795,                 1.6835,                 2.0345,                 1.3395,             0.00022218,             0.00022218,             0.00022218
                      4,                 1.6198,                 1.5063,                 1.3197,                 0.3822,                0.62528,                0.41668,                0.20593,                 1.6354,                 1.9957,                  1.333,              0.0002999,              0.0002999,              0.0002999
                      5,                 1.6048,                 1.3254,                 1.3151,                 0.3617,                 0.5567,                0.37541,                0.18054,                 1.6785,                 1.9386,                  1.355,             0.00037758,             0.00037758,             0.00037758
                      6,                 1.5814,                 1.2682,                 1.2975,                 0.3505,                0.37466,                0.30034,                0.13527,                  1.787,                 2.1692,                 1.4335,              0.0004552,              0.0004552,              0.0004552
                      7,                 1.5767,                 1.2268,                 1.3041,                0.31732,                0.36721,                0.30152,                0.14131,                 1.6905,                 2.2927,                 1.4176,             0.00053276,             0.00053276,             0.00053276
                      8,                 1.5155,                 1.1775,                 1.2562,                0.29675,                0.49322,                0.34981,                0.16126,                 1.7385,                 2.1011,                 1.4075,             0.00061024,             0.00061024,             0.00061024
                      9,                 1.5118,                  1.112,                 1.2756,                0.33881,                0.48993,                0.32571,                0.14369,                 1.8299,                 2.1688,                   1.47,             0.00068762,             0.00068762,             0.00068762
                     10,                 1.5494,                 1.1044,                 1.3004,                0.29651,                0.41329,                0.27913,                0.13136,                 1.7591,                 2.2372,                 1.4053,             0.00076491,             0.00076491,             0.00076491
                     11,                 1.5116,                 1.1079,                 1.2959,                0.25508,                0.45938,                0.26934,                0.13039,                  1.697,                 2.3471,                 1.3735,             0.00084207,             0.00084207,             0.00084207
                     12,                  1.553,                 1.0756,                 1.2643,                0.16742,                0.21204,                0.12486,                0.04849,                 2.0709,                 3.0671,                 1.5927,              0.0009191,              0.0009191,              0.0009191
