                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1388,                 4.9344,                 1.6872,                0.07088,                0.18852,                0.12514,                 0.0832,                 1.6644,                 3.8644,                 1.5138,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 1.8851,                 3.1517,                  1.547,                0.36436,                 0.4892,                0.37644,                0.21777,                 1.4333,                  2.271,                 1.3083,             0.00014348,             0.00014348,             0.00014348
                      3,                 1.5896,                 1.6462,                 1.2591,                0.71227,                0.70687,                0.72751,                 0.3525,                  1.628,                 1.8857,                 1.3958,             0.00021927,             0.00021927,             0.00021927
                      4,                  1.501,                 1.2497,                 1.2126,                0.83751,                0.73846,                0.81125,                0.41619,                 1.5328,                 1.3296,                 1.3505,             0.00029403,             0.00029403,             0.00029403
                      5,                 1.4489,                 1.0551,                 1.1889,                0.78208,                0.76184,                0.78957,                0.40983,                 1.5852,                 1.2524,                   1.41,             0.00036777,             0.00036777,             0.00036777
                      6,                 1.3978,                0.95904,                 1.1756,                0.65887,                  0.696,                0.65433,                 0.3587,                 1.4855,                 1.3233,                 1.3085,             0.00044048,             0.00044048,             0.00044048
                      7,                 1.3981,                0.91417,                 1.1589,                0.80341,                0.73425,                0.79219,                0.43958,                 1.4565,                  1.194,                 1.3187,             0.00051216,             0.00051216,             0.00051216
                      8,                  1.432,                0.96016,                  1.199,                0.62579,                0.61435,                0.65489,                0.36831,                 1.4759,                 1.6466,                 1.3424,             0.00058282,             0.00058282,             0.00058282
                      9,                 1.4378,                0.92456,                 1.1993,                0.77501,                0.68854,                0.76803,                 0.4287,                 1.5233,                 1.3701,                 1.4123,             0.00065245,             0.00065245,             0.00065245
                     10,                 1.3978,                0.87538,                 1.1594,                0.81012,                0.71089,                0.79696,                0.41558,                 1.5729,                 1.2145,                 1.4257,             0.00072105,             0.00072105,             0.00072105
                     11,                 1.3564,                0.89529,                 1.1523,                 0.8603,                0.61142,                0.73367,                0.38049,                 1.6669,                 1.4145,                 1.5088,             0.00078863,             0.00078863,             0.00078863
                     12,                 1.4527,                0.92671,                  1.167,                0.66314,                0.58577,                0.64616,                 0.3265,                 1.7643,                 1.8908,                 1.5493,             0.00085518,             0.00085518,             0.00085518
                     13,                 1.4288,                0.92657,                  1.213,                0.75526,                0.52272,                 0.6276,                0.33333,                 1.6865,                 2.0846,                 1.4449,             0.00092071,             0.00092071,             0.00092071
                     14,                 1.4699,                0.93007,                 1.1986,                0.65082,                0.68127,                0.69006,                0.32885,                 1.7768,                  1.631,                 1.4752,             0.00098521,             0.00098521,             0.00098521
                     15,                 1.4216,                0.89909,                 1.1973,                0.74385,                 0.6861,                0.71705,                0.37559,                 1.6429,                 1.7519,                 1.3917,              0.0010083,              0.0010083,              0.0010083
                     16,                 1.3977,                0.85593,                 1.1654,                0.67896,                0.61788,                0.65966,                0.34473,                   1.83,                 2.8649,                 1.5544,               0.001001,               0.001001,               0.001001
                     17,                 1.4287,                0.84691,                 1.1713,                0.69775,                0.68276,                0.72559,                 0.3926,                 1.5774,                 1.7637,                 1.3799,             0.00099368,             0.00099368,             0.00099368
