                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                 1675.3,                      0,                      0,                      0,                      0,                      0,                      0,                  585.5,                      0,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                      0,                 1652.4,                      0,                      0,                      0,                      0,                      0,                      0,                  575.5,                      0,             5.5536e-05,             5.5536e-05,             5.5536e-05
                      3,                      0,                 1672.2,                      0,                      0,                      0,                      0,                      0,                      0,                  568.5,                      0,             8.8793e-05,             8.8793e-05,             8.8793e-05
                      4,                      0,                   1652,                      0,                      0,                      0,                      0,                      0,                      0,                    566,                      0,             0.00012194,             0.00012194,             0.00012194
                      5,                      0,                 1660.4,                      0,                      0,                      0,                      0,                      0,                      0,                  564.5,                      0,             0.00015493,             0.00015493,             0.00015493
                      6,                      0,                 1696.3,                      0,                      0,                      0,                      0,                      0,                      0,                    563,                      0,             0.00018772,             0.00018772,             0.00018772
                      7,                      0,                 1100.2,                      0,                      0,                      0,                      0,                      0,                      0,                    450,                      0,             0.00022025,             0.00022025,             0.00022025
                      8,                      0,                 506.07,                      0,                      0,                      0,                      0,                      0,                      0,                   1484,                      0,             0.00025248,             0.00025248,             0.00025248
                      9,                      0,                 366.06,                      0,                      0,                      0,                      0,                      0,                      0,                   1955,                      0,             0.00028437,             0.00028437,             0.00028437
                     10,                      0,                 259.37,                      0,                      0,                      0,                      0,                      0,                      0,                   3656,                      0,             0.00031586,             0.00031586,             0.00031586
                     11,                      0,                 194.86,                      0,                      0,                      0,                      0,                      0,                      0,                   2210,                      0,             0.00034691,             0.00034691,             0.00034691
                     12,                      0,                  144.7,                      0,                      0,                      0,                      0,                      0,                      0,                 65.875,                      0,             0.00037747,             0.00037747,             0.00037747
                     13,                      0,                 105.22,                      0,                      0,                      0,                      0,                      0,                      0,                 30.109,                      0,              0.0004075,              0.0004075,              0.0004075
                     14,                      0,                 78.921,                      0,                      0,                      0,                      0,                      0,                      0,                 47.844,                      0,             0.00043697,             0.00043697,             0.00043697
                     15,                      0,                 64.515,                      0,                      0,                      0,                      0,                      0,                      0,                 17.953,                      0,             0.00046581,             0.00046581,             0.00046581
                     16,                      0,                  50.13,                      0,                      0,                      0,                      0,                      0,                      0,                 8.5938,                      0,               0.000494,               0.000494,               0.000494
                     17,                      0,                 37.576,                      0,                      0,                      0,                      0,                      0,                      0,                 8.9688,                      0,             0.00052149,             0.00052149,             0.00052149
                     18,                      0,                  27.05,                      0,                      0,                      0,                      0,                      0,                      0,                 1.1875,                      0,             0.00054824,             0.00054824,             0.00054824
                     19,                      0,                 21.322,                      0,                      0,                      0,                      0,                      0,                      0,                 15.531,                      0,             0.00057422,             0.00057422,             0.00057422
                     20,                      0,                 14.906,                      0,                      0,                      0,                      0,                      0,                      0,                0.86328,                      0,             0.00059938,             0.00059938,             0.00059938
                     21,                      0,                  10.61,                      0,                      0,                      0,                      0,                      0,                      0,                0.42773,                      0,              0.0006237,              0.0006237,              0.0006237
