                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6369,                 4.7625,                 2.1362,                0.06893,                0.16625,                0.09309,                 0.0628,                 1.6562,                 4.0226,                 1.5065,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 2.2643,                 3.5438,                 1.8061,                0.19688,                0.47689,                0.22683,                 0.1007,                 1.7893,                 3.9946,                 1.5232,             0.00014441,             0.00014441,             0.00014441
                      3,                 1.7706,                 2.1199,                 1.4041,                0.33454,                0.55285,                0.40308,                0.13709,                 2.1261,                  3.308,                 1.7759,              0.0002221,              0.0002221,              0.0002221
                      4,                 1.6026,                  1.613,                 1.3459,                0.52361,                0.49705,                0.47555,                0.15867,                 2.0907,                 2.6345,                 1.6975,             0.00029968,             0.00029968,             0.00029968
                      5,                  1.568,                 1.4109,                 1.3034,                 0.4843,                0.49821,                0.46406,                0.13126,                 2.3903,                 2.4934,                  1.894,             0.00037708,             0.00037708,             0.00037708
                      6,                 1.4972,                 1.3198,                 1.2782,                 0.5283,                0.53309,                 0.5161,                0.16989,                 2.3208,                 2.5126,                 1.9535,             0.00045427,             0.00045427,             0.00045427
                      7,                 1.5658,                 1.2172,                 1.3022,                0.54131,                0.39502,                  0.445,                0.17179,                 2.1047,                 2.8041,                 1.6964,              0.0005312,              0.0005312,              0.0005312
                      8,                 1.4766,                 1.1117,                 1.2722,                0.43997,                0.47407,                0.42627,                0.19914,                  1.872,                 2.9261,                 1.5185,             0.00060781,             0.00060781,             0.00060781
                      9,                 1.4809,                 1.1671,                  1.246,                0.46949,                0.56254,                0.48148,                0.20229,                 1.9492,                 2.4263,                 1.5992,             0.00068405,             0.00068405,             0.00068405
                     10,                 1.5494,                 1.0604,                 1.2741,                0.44299,                0.47154,                0.43565,                0.17005,                 1.9587,                 3.2397,                 1.5508,             0.00075987,             0.00075987,             0.00075987
                     11,                  1.501,                 1.0978,                 1.2656,                0.42648,                0.39179,                0.43492,                0.18792,                 2.0388,                 3.9785,                 1.7326,             0.00083523,             0.00083523,             0.00083523
                     12,                 1.5276,                  1.112,                 1.2946,                0.48116,                 0.4844,                0.46603,                0.19481,                 2.0296,                 4.0644,                 1.7332,             0.00091007,             0.00091007,             0.00091007
                     13,                 1.5495,                 1.0753,                 1.2687,                0.46696,                0.40568,                0.43074,                0.19186,                 1.8421,                 3.8445,                 1.5641,             0.00098435,             0.00098435,             0.00098435
                     14,                 1.5543,                 1.0173,                 1.2957,                0.41233,                0.38899,                 0.3834,                0.17519,                 2.0118,                 7.1079,                 1.7674,               0.001058,               0.001058,               0.001058
