                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4661,                 4.2954,                 1.9653,                0.19231,                0.32026,                0.17942,                0.08873,                  1.762,                 3.9022,                 1.5583,             0.00013332,             0.00013332,             0.00013332
                      2,                 1.7149,                 2.0017,                 1.4125,                0.52482,                0.50787,                0.47322,                0.16809,                 2.1713,                 2.0756,                 1.6631,             0.00027772,             0.00027772,             0.00027772
                      3,                 1.5736,                  1.468,                 1.3171,                0.39682,                0.50887,                0.41564,                0.18489,                 2.1467,                 2.5344,                 1.7723,               0.000422,               0.000422,               0.000422
                      4,                 1.6301,                 1.3673,                 1.3426,                0.39575,                0.57071,                0.52695,                0.20658,                 2.0291,                 2.2895,                 1.6576,             0.00056606,             0.00056606,             0.00056606
                      5,                 1.5653,                 1.2154,                 1.2865,                0.49799,                0.54514,                 0.5613,                0.20842,                 2.0476,                 2.6143,                 1.6254,             0.00070981,             0.00070981,             0.00070981
                      6,                  1.553,                 1.1426,                 1.3187,                0.51029,                0.50994,                0.53952,                0.17713,                 2.1378,                 2.5399,                 1.7978,             0.00085315,             0.00085315,             0.00085315
                      7,                 1.5692,                 1.1561,                 1.3061,                0.41088,                0.48904,                0.49541,                0.18215,                  2.113,                 2.6404,                 1.7012,               0.000996,               0.000996,               0.000996
                      8,                 1.5447,                 1.0378,                 1.3115,                0.40111,                0.41153,                0.34991,                0.14658,                 2.0355,                 2.6211,                  1.787,              0.0011051,              0.0011051,              0.0011051
                      9,                 1.5587,                 1.1553,                 1.2908,                0.54648,                0.52602,                 0.4969,                0.18705,                 2.1244,                 2.0743,                 1.8801,              0.0011033,              0.0011033,              0.0011033
                     10,                 1.5616,                 1.0694,                 1.2858,                0.49206,                0.42188,                0.38778,                0.13871,                 2.3153,                 2.5048,                 1.8614,              0.0011013,              0.0011013,              0.0011013
                     11,                 1.5574,                 1.0462,                 1.2926,                 0.5564,                0.51773,                0.51842,                0.22517,                 1.9402,                  2.486,                 1.6024,               0.001099,               0.001099,               0.001099
