                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6369,                 4.7625,                 2.1362,                0.07768,                0.04872,                0.03873,                0.01379,                 2.1177,                  3.973,                 1.7236,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 2.2643,                 3.5438,                 1.8061,                0.51254,                0.21519,                 0.2044,                0.10121,                 1.6632,                 3.4779,                 1.4069,             0.00014441,             0.00014441,             0.00014441
                      3,                 1.7706,                 2.1199,                 1.4041,                0.34002,                0.53189,                0.33415,                0.15475,                  1.729,                 2.7402,                 1.4332,              0.0002221,              0.0002221,              0.0002221
                      4,                 1.6026,                  1.613,                 1.3459,                0.37086,                0.27711,                0.25281,                0.12309,                 1.6517,                 2.6056,                 1.3501,             0.00029968,             0.00029968,             0.00029968
                      5,                  1.568,                 1.4109,                 1.3034,                0.35428,                0.34474,                0.27724,                0.13162,                 1.7938,                 2.5291,                 1.4378,             0.00037708,             0.00037708,             0.00037708
                      6,                 1.4972,                 1.3198,                 1.2782,                0.31697,                0.42708,                 0.2866,                0.12988,                 1.8012,                  2.598,                 1.4651,             0.00045427,             0.00045427,             0.00045427
                      7,                 1.5658,                 1.2172,                 1.3022,                0.34673,                0.34751,                0.24081,                0.11878,                 1.6804,                 2.6936,                 1.3738,              0.0005312,              0.0005312,              0.0005312
                      8,                 1.4766,                 1.1117,                 1.2722,                0.32667,                0.27438,                0.20832,                0.09409,                 1.7307,                 2.8862,                 1.4013,             0.00060781,             0.00060781,             0.00060781
                      9,                 1.4809,                 1.1671,                  1.246,                0.30054,                0.29897,                0.21889,                0.10091,                 1.7827,                  2.884,                 1.4685,             0.00068405,             0.00068405,             0.00068405
                     10,                 1.5494,                 1.0604,                 1.2741,                0.31396,                0.22503,                 0.1723,                0.07996,                 1.7468,                 3.7975,                 1.4472,             0.00075987,             0.00075987,             0.00075987
                     11,                  1.501,                 1.0978,                 1.2656,                0.19876,                0.20508,                 0.1339,                0.06474,                 1.7948,                 3.9232,                 1.5354,             0.00083523,             0.00083523,             0.00083523
                     12,                 1.5276,                  1.112,                 1.2946,                0.25034,                 0.2285,                 0.1409,                0.06168,                  1.797,                 4.6926,                 1.5977,             0.00091007,             0.00091007,             0.00091007
                     13,                 1.5495,                 1.0753,                 1.2687,                0.20373,                0.16227,                0.15682,                0.06776,                 1.8535,                 3.7152,                 1.5311,             0.00098435,             0.00098435,             0.00098435
                     14,                 1.5543,                 1.0173,                 1.2957,                0.13755,                0.27583,                0.07008,                0.03055,                 1.8963,                 7.4704,                 1.6502,               0.001058,               0.001058,               0.001058
                     15,                 1.5366,                 1.0682,                  1.292,                0.15943,                0.27442,                0.06798,                0.03322,                 1.7942,                    inf,                 1.5306,              0.0010875,              0.0010875,              0.0010875
                     16,                 1.5905,                 1.0965,                   1.33,                0.08089,                0.17968,                0.05249,                0.01849,                  2.544,                    inf,                 2.1923,              0.0010841,              0.0010841,              0.0010841
                     17,                 1.5998,                 1.0996,                 1.3425,                0.02091,                0.07897,                0.01094,                0.00464,                 3.2836,                    inf,                 2.5982,              0.0010804,              0.0010804,              0.0010804
                     18,                 1.5341,                 1.0031,                  1.296,                0.12849,                0.23943,                0.08137,                0.03021,                 2.2672,                    inf,                 1.8608,              0.0010765,              0.0010765,              0.0010765
