                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5347,                 4.9592,                 2.0226,                0.34843,                0.22184,                0.21949,                0.06911,                 2.0589,                 3.5552,                 1.7822,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 2.0391,                   3.26,                 1.6219,                0.23874,                 0.4619,                0.26779,                0.13143,                 1.6893,                 2.5255,                 1.3017,             0.00014439,             0.00014439,             0.00014439
                      3,                 1.7385,                 1.8129,                 1.3249,                0.36512,                0.56124,                0.34395,                 0.1645,                 1.6651,                 2.7319,                 1.3437,             0.00022198,             0.00022198,             0.00022198
                      4,                 1.6968,                 1.5051,                 1.2919,                0.32419,                0.59326,                 0.3919,                0.19347,                  1.617,                 2.1684,                 1.3122,             0.00029931,             0.00029931,             0.00029931
                      5,                  1.646,                 1.3772,                 1.2883,                0.33168,                0.58397,                0.38348,                0.19021,                 1.6481,                 2.0549,                  1.325,             0.00037627,             0.00037627,             0.00037627
                      6,                 1.5652,                 1.2865,                 1.3111,                0.33442,                0.44285,                0.34975,                 0.1561,                 1.7524,                 2.3202,                 1.4162,             0.00045273,             0.00045273,             0.00045273
                      7,                 1.5482,                 1.2308,                 1.2952,                0.31722,                0.50484,                0.35639,                 0.1618,                 1.7656,                 2.0059,                 1.4028,              0.0005286,              0.0005286,              0.0005286
                      8,                  1.572,                 1.2087,                 1.3053,                0.35969,                0.49782,                0.37004,                 0.1541,                 1.8916,                 2.0344,                 1.4808,             0.00060377,             0.00060377,             0.00060377
                      9,                 1.5224,                 1.1494,                 1.2706,                0.30117,                0.41686,                0.30552,                0.14485,                 1.7149,                 2.2327,                 1.3933,             0.00067811,             0.00067811,             0.00067811
                     10,                 1.5748,                 1.1539,                 1.2901,                0.34357,                0.36214,                0.30213,                0.13195,                 1.7433,                 2.3222,                 1.4083,             0.00075152,             0.00075152,             0.00075152
                     11,                 1.5507,                 1.1429,                 1.2652,                0.28582,                0.37731,                0.26976,                0.12489,                 1.7945,                  2.455,                  1.449,              0.0008239,              0.0008239,              0.0008239
                     12,                 1.5813,                 1.1117,                 1.2909,                0.30329,                 0.3834,                0.27284,                0.12606,                 1.7616,                 2.3961,                 1.4197,             0.00089514,             0.00089514,             0.00089514
                     13,                 1.5883,                 1.2037,                 1.3108,                0.30707,                0.34795,                0.26314,                  0.117,                  1.855,                 2.4997,                  1.458,             0.00096514,             0.00096514,             0.00096514
                     14,                 1.5178,                 1.0809,                 1.2631,                0.30668,                  0.336,                0.25408,                0.11482,                 1.8123,                 2.4013,                 1.4663,              0.0010338,              0.0010338,              0.0010338
                     15,                 1.5575,                 1.1032,                 1.2715,                0.38127,                0.40448,                0.29219,                0.13628,                 1.8059,                 2.2571,                 1.4778,              0.0010587,              0.0010587,              0.0010587
                     16,                 1.5411,                 1.0687,                 1.2688,                0.26654,                0.35112,                0.22134,                0.08669,                 2.0015,                 2.6541,                 1.6613,              0.0010511,              0.0010511,              0.0010511
                     17,                 1.5566,                 1.0867,                 1.2804,                0.37331,                0.26916,                0.23351,                 0.0942,                  1.958,                 2.5796,                 1.5769,               0.001043,               0.001043,               0.001043
                     18,                 1.5728,                 1.1255,                 1.3089,                0.30265,                0.38629,                 0.2825,                0.12407,                 1.8464,                  2.365,                  1.502,              0.0010344,              0.0010344,              0.0010344
                     19,                 1.5135,                0.98795,                 1.2705,                0.32775,                0.44978,                0.34013,                0.16288,                 1.7898,                 2.1602,                 1.5065,              0.0010254,              0.0010254,              0.0010254
                     20,                 1.4822,                 1.0116,                 1.2649,                0.32035,                  0.417,                0.33203,                0.16545,                 1.6859,                 2.3973,                 1.3966,              0.0010159,              0.0010159,              0.0010159
                     21,                 1.4999,                0.99617,                 1.2721,                0.30994,                0.36812,                0.28176,                0.13805,                 1.6775,                 2.4967,                 1.4058,               0.001006,               0.001006,               0.001006
                     22,                   1.49,                0.97159,                 1.2421,                0.34788,                0.39974,                0.29755,                0.14543,                 1.7037,                  2.657,                 1.3984,              0.0009956,              0.0009956,              0.0009956
                     23,                 1.4296,                0.93794,                 1.2219,                0.36493,                 0.4444,                0.35017,                0.18732,                 1.6052,                 2.3375,                 1.3576,             0.00098479,             0.00098479,             0.00098479
                     24,                 1.5732,                 1.1023,                 1.2948,                0.36493,                0.39485,                0.33931,                0.17709,                 1.6234,                 2.3561,                 1.3626,             0.00097357,             0.00097357,             0.00097357
                     25,                 1.4886,                0.98989,                 1.2528,                0.35416,                0.36188,                0.29465,                0.13691,                 1.7887,                 2.4875,                 1.4856,             0.00096195,             0.00096195,             0.00096195
                     26,                 1.5039,                 0.9996,                 1.2813,                0.34913,                0.47572,                0.34163,                0.17348,                 1.6579,                 2.3375,                 1.3835,             0.00094992,             0.00094992,             0.00094992
                     27,                 1.4542,                 0.8993,                 1.2012,                0.36694,                0.38028,                0.33346,                0.16861,                  1.657,                  2.505,                 1.3667,             0.00093752,             0.00093752,             0.00093752
                     28,                 1.4675,                0.94066,                 1.2573,                0.36353,                0.43705,                0.32971,                0.17429,                 1.6316,                 2.3306,                 1.3526,             0.00092474,             0.00092474,             0.00092474
                     29,                 1.3924,                0.89053,                 1.2232,                0.39232,                0.42151,                0.35438,                0.19395,                 1.5691,                 2.1672,                 1.3222,              0.0009116,              0.0009116,              0.0009116
                     30,                 1.4201,                0.92084,                  1.239,                0.34461,                0.39238,                0.32721,                0.17369,                 1.5855,                 2.4583,                 1.3859,             0.00089812,             0.00089812,             0.00089812
                     31,                  1.459,                0.93127,                 1.2414,                0.32193,                0.33663,                0.29725,                0.15111,                 1.7049,                 2.5655,                  1.415,              0.0008843,              0.0008843,              0.0008843
                     32,                 1.4688,                0.93877,                 1.2241,                0.35652,                0.35514,                0.30184,                0.15618,                 1.6756,                 2.4704,                 1.3987,             0.00087017,             0.00087017,             0.00087017
                     33,                 1.5868,                0.97254,                 1.2639,                0.40075,                0.39203,                0.33741,                0.17951,                 1.5835,                 2.3151,                 1.3134,             0.00085573,             0.00085573,             0.00085573
                     34,                 1.4352,                0.88931,                 1.2173,                0.38152,                0.45137,                0.37899,                0.20262,                 1.6271,                 2.2567,                 1.3357,               0.000841,               0.000841,               0.000841
                     35,                 1.4669,                0.94646,                 1.2413,                 0.4113,                0.38394,                0.34178,                0.18268,                  1.541,                 2.3021,                 1.2787,             0.00082599,             0.00082599,             0.00082599
                     36,                 1.4603,                0.88207,                 1.1996,                 0.4008,                0.41556,                0.35438,                 0.1856,                  1.568,                 2.2108,                 1.3439,             0.00081072,             0.00081072,             0.00081072
                     37,                 1.4105,                0.86503,                 1.1951,                 0.3888,                0.40739,                0.35088,                0.18243,                 1.5993,                 2.3469,                 1.3162,             0.00079521,             0.00079521,             0.00079521
                     38,                 1.4166,                0.88899,                 1.1984,                0.35829,                 0.3945,                0.30407,                0.15665,                  1.614,                 2.5385,                 1.3166,             0.00077946,             0.00077946,             0.00077946
                     39,                 1.4011,                0.83898,                 1.2088,                0.40452,                0.45321,                0.36517,                0.19884,                 1.5589,                 2.2089,                 1.3008,              0.0007635,              0.0007635,              0.0007635
                     40,                 1.3773,                0.84363,                 1.1913,                0.31918,                 0.3516,                0.25583,                0.12917,                 1.5759,                 2.6488,                 1.3098,             0.00074734,             0.00074734,             0.00074734
                     41,                  1.361,                0.84497,                 1.2227,                0.42008,                0.40679,                0.33925,                0.18223,                 1.5495,                 2.3187,                 1.2905,               0.000731,               0.000731,               0.000731
                     42,                 1.4234,                0.90098,                 1.2506,                 0.4145,                0.40343,                0.34388,                0.18769,                 1.5525,                  2.455,                 1.3153,             0.00071448,             0.00071448,             0.00071448
                     43,                 1.3914,                0.84657,                 1.1913,                0.41033,                0.42831,                0.38026,                0.21438,                 1.5245,                 2.2521,                 1.2888,             0.00069782,             0.00069782,             0.00069782
                     44,                 1.3573,                0.78991,                 1.1883,                0.40085,                0.40284,                0.33881,                0.18832,                 1.5435,                   2.47,                  1.302,             0.00068102,             0.00068102,             0.00068102
                     45,                 1.4607,                0.86165,                 1.2195,                 0.4346,                0.41173,                0.36692,                0.20328,                  1.554,                  2.333,                 1.2724,              0.0006641,              0.0006641,              0.0006641
                     46,                 1.3765,                  0.798,                 1.1812,                0.41062,                0.40202,                0.34896,                0.19168,                 1.6059,                  2.283,                 1.2959,             0.00064709,             0.00064709,             0.00064709
                     47,                  1.306,                0.77141,                 1.1639,                0.40838,                0.43317,                0.36249,                0.20668,                 1.5491,                 2.2385,                 1.2956,             0.00062998,             0.00062998,             0.00062998
                     48,                 1.2935,                0.76993,                 1.1418,                0.40843,                0.41155,                0.35074,                0.19385,                 1.5444,                 2.2443,                 1.2855,             0.00061281,             0.00061281,             0.00061281
                     49,                 1.3344,                0.77106,                 1.1877,                0.41528,                0.43522,                0.34188,                0.19182,                 1.5106,                 2.2735,                 1.2788,             0.00059559,             0.00059559,             0.00059559
                     50,                 1.3737,                0.79355,                 1.1633,                0.39982,                0.42078,                0.33806,                 0.1871,                 1.5084,                 2.2513,                 1.2664,             0.00057833,             0.00057833,             0.00057833
                     51,                 1.3629,                0.79716,                 1.1932,                0.40578,                 0.4455,                0.34227,                0.19369,                 1.4813,                 2.2999,                 1.2503,             0.00056106,             0.00056106,             0.00056106
                     52,                 1.3339,                 0.8048,                 1.1831,                0.41797,                0.39672,                0.31473,                0.17406,                 1.5888,                 2.5308,                 1.3105,             0.00054378,             0.00054378,             0.00054378
                     53,                 1.2962,                0.75694,                 1.1558,                 0.4205,                0.40568,                0.32872,                0.18744,                 1.5179,                 2.4438,                 1.2793,             0.00052652,             0.00052652,             0.00052652
                     54,                 1.2631,                0.76465,                 1.1531,                0.38743,                0.41325,                0.34944,                0.19806,                 1.5193,                 2.4861,                 1.2806,              0.0005093,              0.0005093,              0.0005093
                     55,                 1.3016,                 0.7769,                 1.1675,                0.41186,                0.39121,                0.33358,                 0.1914,                 1.4779,                 2.4026,                 1.2558,             0.00049213,             0.00049213,             0.00049213
                     56,                 1.2977,                0.72953,                 1.1559,                0.41812,                0.42647,                0.33492,                0.19266,                 1.4888,                 2.3428,                 1.2516,             0.00047502,             0.00047502,             0.00047502
                     57,                 1.2943,                0.73518,                 1.1449,                 0.4274,                 0.4326,                0.34816,                0.20335,                 1.4457,                 2.3854,                 1.2293,             0.00045801,             0.00045801,             0.00045801
                     58,                 1.3094,                0.74157,                 1.1417,                0.40624,                0.43395,                0.34122,                0.19494,                 1.5003,                 2.3614,                  1.255,             0.00044109,             0.00044109,             0.00044109
                     59,                 1.2679,                0.72139,                  1.156,                0.41726,                0.43804,                0.35238,                0.20406,                 1.4676,                 2.4085,                 1.2415,             0.00042429,             0.00042429,             0.00042429
                     60,                 1.2704,                0.75373,                 1.1444,                0.40217,                0.41547,                0.32964,                 0.1926,                 1.4826,                   2.52,                 1.2451,             0.00040763,             0.00040763,             0.00040763
                     61,                 1.3341,                0.80149,                 1.1507,                0.41146,                0.40007,                0.33404,                 0.1893,                 1.5451,                 2.4153,                 1.2724,             0.00039111,             0.00039111,             0.00039111
                     62,                 1.2731,                0.72606,                 1.1289,                0.44009,                0.41528,                0.33948,                0.19716,                 1.4743,                 2.4118,                 1.2225,             0.00037477,             0.00037477,             0.00037477
                     63,                 1.2941,                0.76125,                 1.1246,                0.42804,                0.41021,                 0.3369,                 0.2005,                 1.4388,                 2.4169,                 1.2234,             0.00035861,             0.00035861,             0.00035861
                     64,                 1.2446,                0.73355,                 1.1142,                0.43634,                0.42575,                0.35691,                0.20561,                 1.5056,                 2.3769,                 1.2522,             0.00034265,             0.00034265,             0.00034265
                     65,                 1.2433,                0.72882,                 1.1275,                0.43246,                0.42256,                0.36059,                0.21164,                 1.4441,                 2.4089,                 1.2313,              0.0003269,              0.0003269,              0.0003269
                     66,                 1.2336,                0.69972,                   1.13,                0.41888,                0.40893,                0.35559,                0.21033,                 1.4815,                 2.4315,                 1.2349,             0.00031139,             0.00031139,             0.00031139
