                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.3959,                0.83654,                 1.2101,                0.35654,                0.36378,                0.28024,                0.14674,                 1.5951,                 2.6536,                  1.348,             0.00097736,             0.00097736,             0.00097736
                     36,                 1.3829,                0.83118,                 1.2083,                0.30467,                0.34449,                0.26636,                0.14649,                 1.5742,                 2.8261,                 1.3374,             0.00096974,             0.00096974,             0.00096974
                     37,                 1.3416,                0.76427,                 1.1784,                0.37909,                0.35293,                0.27736,                0.14596,                  1.624,                  2.698,                 1.3676,             0.00096195,             0.00096195,             0.00096195
                     38,                 1.3437,                0.77189,                 1.1926,                0.40703,                0.38708,                0.33027,                0.17567,                  1.623,                 2.4938,                 1.3806,             0.00095398,             0.00095398,             0.00095398
                     39,                 1.3228,                0.76571,                 1.1753,                0.40483,                0.39054,                0.32432,                0.17542,                 1.5675,                 2.4614,                 1.3329,             0.00094583,             0.00094583,             0.00094583
                     40,                 1.3223,                0.76953,                 1.1754,                 0.3892,                0.40936,                0.32432,                0.17472,                 1.6083,                 2.4261,                 1.3525,             0.00093752,             0.00093752,             0.00093752
                     41,                  1.315,                 0.7748,                 1.1931,                0.38221,                0.40134,                 0.3272,                0.16717,                 1.6306,                 2.4021,                 1.3886,             0.00092904,             0.00092904,             0.00092904
                     42,                 1.3547,                0.75459,                 1.1836,                0.40608,                0.36788,                0.28919,                0.15157,                 1.6311,                 2.6557,                 1.3816,              0.0009204,              0.0009204,              0.0009204
                     43,                 1.3347,                0.73773,                 1.1723,                0.39021,                0.37854,                0.31651,                0.16713,                 1.6284,                 2.5312,                 1.3832,              0.0009116,              0.0009116,              0.0009116
                     44,                 1.3407,                0.74216,                 1.1943,                 0.3969,                0.34662,                0.27939,                0.13471,                 1.6939,                  2.617,                 1.4323,             0.00090265,             0.00090265,             0.00090265
                     45,                 1.3371,                0.73936,                 1.1781,                0.40783,                0.36325,                0.27064,                0.13425,                 1.6031,                 2.8508,                 1.3689,             0.00089355,             0.00089355,             0.00089355
                     46,                 1.3098,                0.74006,                 1.1767,                0.39696,                0.39597,                0.32234,                0.17515,                 1.5727,                 2.5481,                 1.3478,              0.0008843,              0.0008843,              0.0008843
                     47,                 1.3163,                0.72015,                 1.2037,                0.39917,                0.37654,                0.32424,                0.16836,                 1.5928,                 2.5364,                 1.3628,             0.00087492,             0.00087492,             0.00087492
                     48,                 1.2969,                0.71396,                 1.1542,                0.33177,                0.39198,                0.25312,                 0.1236,                 1.6662,                 2.6225,                 1.3997,             0.00086539,             0.00086539,             0.00086539
                     49,                 1.2924,                0.74793,                 1.1644,                0.39335,                0.38705,                0.30307,                0.16251,                 1.5882,                 2.5946,                 1.3524,             0.00085573,             0.00085573,             0.00085573
                     50,                 1.2829,                0.71198,                 1.1485,                0.38101,                0.40966,                0.29709,                0.15682,                 1.5952,                  2.729,                 1.3723,             0.00084594,             0.00084594,             0.00084594
                     51,                 1.3064,                0.72536,                 1.1732,                 0.4158,                0.37384,                0.30882,                0.17139,                 1.5365,                  2.759,                 1.3299,             0.00083603,             0.00083603,             0.00083603
                     52,                 1.2885,                 0.6821,                 1.1617,                0.42537,                0.37183,                0.30796,                 0.1674,                 1.6322,                 2.6814,                 1.3783,             0.00082599,             0.00082599,             0.00082599
                     53,                 1.2893,                0.69406,                 1.1418,                0.42074,                0.38173,                0.29736,                 0.1618,                 1.6075,                 2.7497,                  1.351,             0.00081584,             0.00081584,             0.00081584
                     54,                 1.2685,                0.68666,                 1.1379,                0.40111,                0.38943,                0.29627,                0.15538,                 1.6364,                 2.8096,                 1.3696,             0.00080558,             0.00080558,             0.00080558
                     55,                 1.2402,                0.65345,                 1.1421,                 0.4416,                0.40275,                0.32973,                0.18147,                 1.5964,                 2.6648,                  1.352,             0.00079521,             0.00079521,             0.00079521
                     56,                 1.2514,                0.67008,                 1.1223,                0.42257,                0.38626,                0.31143,                0.16409,                 1.6442,                 2.7956,                 1.4056,             0.00078474,             0.00078474,             0.00078474
                     57,                 1.2258,                0.67096,                 1.1276,                0.39077,                0.37154,                0.29677,                0.15454,                 1.6458,                 2.9702,                 1.3811,             0.00077417,             0.00077417,             0.00077417
