                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6921,                  4.384,                 1.8542,                0.13201,                0.10769,                0.09853,                0.02608,                   2.84,                 3.9642,                 1.9918,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.7192,                 4.2822,                 1.8602,                0.12771,                0.10462,                0.09497,                0.02583,                 2.8354,                 3.9436,                 1.9874,             5.5536e-05,             5.5536e-05,             5.5536e-05
                      3,                 2.7317,                 4.2937,                 1.9126,                  0.756,                0.13091,                0.14031,                0.04718,                 2.6632,                 3.2271,                 1.8374,             8.8793e-05,             8.8793e-05,             8.8793e-05
                      4,                  2.288,                 2.7772,                 1.5946,                0.42562,                0.24916,                0.24917,                0.10384,                 2.1881,                 2.2574,                 1.5471,             0.00012194,             0.00012194,             0.00012194
                      5,                 1.9912,                 1.9679,                 1.3991,                0.70837,                0.38694,                0.47768,                0.19382,                 2.0176,                 1.9837,                  1.437,             0.00015493,             0.00015493,             0.00015493
                      6,                 1.8575,                 1.5957,                 1.3348,                0.70176,                0.67735,                0.71349,                0.31032,                 1.8821,                 1.6075,                  1.369,             0.00018772,             0.00018772,             0.00018772
                      7,                 1.7536,                 1.3337,                 1.2685,                 0.7894,                 0.5999,                0.70275,                0.30585,                 1.8778,                 1.5687,                 1.3861,             0.00022025,             0.00022025,             0.00022025
                      8,                 1.6733,                  1.179,                 1.2612,                0.76138,                0.67498,                0.72746,                0.31237,                 1.8793,                  1.369,                 1.3786,             0.00025248,             0.00025248,             0.00025248
                      9,                 1.6598,                 1.1031,                  1.228,                0.76764,                0.67335,                0.70903,                0.29106,                 1.9156,                 1.3914,                 1.4092,             0.00028437,             0.00028437,             0.00028437
                     10,                 1.5964,                 1.0103,                 1.1991,                0.84267,                0.72215,                0.77085,                0.35112,                  1.825,                 1.1933,                 1.3447,             0.00031586,             0.00031586,             0.00031586
                     11,                 1.6058,                 1.0125,                 1.1772,                0.80267,                0.69222,                0.74611,                0.32755,                 1.8659,                 1.2933,                 1.3926,             0.00034691,             0.00034691,             0.00034691
                     12,                 1.5577,                0.93377,                 1.1782,                0.82166,                0.70366,                0.76574,                0.34915,                  1.841,                 1.2537,                 1.3812,             0.00037747,             0.00037747,             0.00037747
                     13,                 1.5646,                0.96857,                 1.1859,                0.78908,                0.67844,                0.76166,                 0.3441,                 1.8151,                 1.2963,                 1.3528,              0.0004075,              0.0004075,              0.0004075
