                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5641,                 4.3668,                 1.8233,                0.16088,                0.11991,                0.06208,                0.01092,                 2.9992,                 3.8879,                 2.2618,              2.222e-05,              2.222e-05,              2.222e-05
                      2,                 2.5468,                 4.3236,                 1.7982,                0.16559,                0.12467,                0.06412,                0.01123,                 2.9815,                 3.9114,                  2.255,             5.5536e-05,             5.5536e-05,             5.5536e-05
                      3,                  2.397,                 3.8196,                 1.7175,                0.28425,                0.33256,                 0.2741,                0.06953,                 2.5079,                 2.8221,                 1.8362,             8.8793e-05,             8.8793e-05,             8.8793e-05
                      4,                 1.9948,                 2.6085,                  1.419,                0.33844,                 0.3897,                0.41521,                0.15688,                  2.149,                 1.9976,                 1.5349,             0.00012194,             0.00012194,             0.00012194
                      5,                 1.9129,                 1.8058,                 1.3288,                0.51069,                0.53191,                0.54106,                 0.2193,                 2.0693,                 1.6003,                 1.4576,             0.00015493,             0.00015493,             0.00015493
                      6,                 1.8377,                 1.4095,                  1.307,                0.58678,                0.69689,                0.65952,                0.26836,                  1.962,                 1.4561,                 1.3974,             0.00018772,             0.00018772,             0.00018772
                      7,                 1.7515,                 1.2504,                 1.2448,                0.67595,                0.67086,                0.68015,                0.28806,                   1.91,                 1.5693,                 1.3823,             0.00022025,             0.00022025,             0.00022025
                      8,                 1.7218,                 1.1482,                 1.2673,                0.68675,                0.66397,                0.71963,                 0.3197,                 1.9009,                  1.461,                 1.3742,             0.00025248,             0.00025248,             0.00025248
                      9,                 1.7123,                 1.0995,                 1.2378,                0.68754,                0.64424,                 0.6907,                0.28213,                 2.0383,                 1.5781,                 1.4601,             0.00028437,             0.00028437,             0.00028437
                     10,                 1.6781,                 1.0415,                 1.2331,                0.76248,                0.64504,                0.71094,                0.30003,                 2.0202,                 1.3907,                 1.4299,             0.00031586,             0.00031586,             0.00031586
                     11,                  1.673,                 1.0305,                 1.2038,                0.66728,                0.55567,                 0.6005,                0.20981,                 2.2672,                 1.5604,                 1.5884,             0.00034691,             0.00034691,             0.00034691
                     12,                 1.6491,                 0.9671,                 1.2089,                0.66519,                0.63023,                0.65343,                0.23895,                 2.2004,                 1.5242,                 1.5628,             0.00037747,             0.00037747,             0.00037747
                     13,                 1.6316,                0.99584,                 1.2103,                0.61332,                0.63668,                0.61384,                0.22343,                  2.229,                   1.36,                 1.5678,              0.0004075,              0.0004075,              0.0004075
                     14,                  1.582,                 0.9433,                 1.2003,                0.57106,                0.58986,                0.56226,                0.18235,                 2.4125,                 1.4846,                 1.7383,             0.00043697,             0.00043697,             0.00043697
                     15,                 1.6107,                0.95286,                 1.1844,                0.54291,                0.63588,                0.60401,                0.20962,                 2.3119,                    1.3,                 1.6611,             0.00046581,             0.00046581,             0.00046581
                     16,                 1.6075,                0.96252,                    1.2,                0.77342,                0.74076,                0.79821,                0.32101,                 2.0012,                 1.0813,                 1.4789,               0.000494,               0.000494,               0.000494
                     17,                 1.6397,                0.94656,                 1.2067,                0.64082,                0.63766,                0.64778,                0.21035,                 2.3226,                 1.2166,                 1.7224,             0.00052149,             0.00052149,             0.00052149
                     18,                 1.6371,                 0.9517,                 1.2002,                0.83565,                0.80866,                0.82077,                0.37103,                 1.8861,                0.91757,                 1.4085,             0.00054824,             0.00054824,             0.00054824
                     19,                 1.6199,                0.91387,                 1.1896,                0.69013,                0.67882,                0.70748,                0.27618,                 2.1077,                 1.0519,                 1.5402,             0.00057422,             0.00057422,             0.00057422
                     20,                 1.6052,                0.91977,                 1.1955,                0.77005,                0.80338,                0.85067,                0.37669,                 1.8422,                0.97812,                 1.3606,             0.00059938,             0.00059938,             0.00059938
                     21,                 1.5929,                0.90153,                 1.2139,                0.83769,                0.80453,                0.83883,                0.36233,                 1.9045,                 0.9842,                 1.4106,              0.0006237,              0.0006237,              0.0006237
                     22,                 1.5363,                0.85211,                 1.1747,                0.84258,                0.78687,                 0.8479,                0.37367,                 1.8793,                0.96689,                 1.3507,             0.00064714,             0.00064714,             0.00064714
                     23,                  1.509,                0.84067,                  1.149,                0.82853,                0.78037,                0.82005,                0.36744,                 1.8953,                 1.0117,                 1.3644,             0.00066966,             0.00066966,             0.00066966
                     24,                 1.5454,                0.84934,                 1.1558,                0.80081,                0.80349,                0.85824,                0.40783,                 1.8128,                0.98428,                  1.315,             0.00069124,             0.00069124,             0.00069124
                     25,                 1.4931,                 0.8272,                 1.1281,                 0.8028,                0.77775,                0.83382,                0.38489,                 1.8646,                0.95391,                 1.3507,             0.00071184,             0.00071184,             0.00071184
                     26,                 1.4773,                0.80889,                 1.1342,                0.81468,                0.76301,                0.83567,                0.38417,                 1.8187,                 1.0064,                 1.3255,             0.00073144,             0.00073144,             0.00073144
                     27,                 1.5326,                0.86933,                 1.1721,                0.81519,                0.77028,                 0.8171,                 0.4073,                 1.7367,                 1.1289,                 1.2691,             0.00075001,             0.00075001,             0.00075001
                     28,                 1.4986,                 0.8043,                 1.1628,                0.77867,                0.69312,                0.75472,                0.32783,                 1.9189,                 1.3222,                 1.3517,             0.00076753,             0.00076753,             0.00076753
                     29,                 1.4895,                0.79439,                 1.1559,                0.81656,                0.67297,                0.78575,                0.38224,                 1.7463,                 1.3842,                 1.2662,             0.00078398,             0.00078398,             0.00078398
                     30,                 1.5753,                0.85783,                 1.1583,                0.77396,                0.64373,                0.77788,                0.33646,                 1.8926,                 1.3896,                  1.344,             0.00079933,             0.00079933,             0.00079933
                     31,                 1.5138,                0.84586,                 1.1559,                0.85183,                0.72252,                0.82844,                0.40495,                  1.745,                 1.2796,                 1.2785,             0.00081356,             0.00081356,             0.00081356
                     32,                 1.5077,                0.84871,                 1.1757,                0.70628,                0.54021,                0.68711,                0.30899,                 1.8473,                 1.7227,                 1.3467,             0.00082666,             0.00082666,             0.00082666
                     33,                 1.4996,                0.80221,                 1.1465,                0.78189,                 0.5797,                0.72642,                 0.3577,                 1.8506,                 1.6644,                 1.3324,             0.00083862,             0.00083862,             0.00083862
                     34,                  1.507,                0.82035,                 1.1525,                 0.7891,                0.64728,                0.74146,                0.33207,                 1.9007,                 1.4127,                 1.3729,               0.000841,               0.000841,               0.000841
                     35,                 1.4796,                0.81413,                 1.1469,                0.88541,                0.72998,                0.82396,                0.40706,                 1.7794,                 1.1673,                 1.3132,             0.00082599,             0.00082599,             0.00082599
                     36,                 1.4668,                0.77549,                 1.1368,                 0.8509,                 0.6933,                0.81188,                0.41577,                 1.7264,                 1.2287,                 1.2902,             0.00081072,             0.00081072,             0.00081072
                     37,                 1.4616,                 0.7791,                 1.1148,                0.75618,                0.67289,                0.79604,                0.38503,                 1.7694,                 1.3075,                 1.2952,             0.00079521,             0.00079521,             0.00079521
                     38,                 1.4393,                0.77594,                 1.1393,                0.82963,                0.71416,                0.82204,                0.42356,                 1.7733,                 1.1482,                 1.2901,             0.00077946,             0.00077946,             0.00077946
                     39,                 1.4667,                0.79454,                 1.1229,                0.76793,                0.70089,                0.78128,                0.35097,                 1.9034,                 1.1745,                 1.3734,              0.0007635,              0.0007635,              0.0007635
                     40,                 1.4752,                0.76004,                 1.1456,                0.85707,                0.75181,                0.84254,                0.41268,                 1.7606,                 1.1737,                 1.2941,             0.00074734,             0.00074734,             0.00074734
                     41,                 1.4842,                0.78743,                 1.1038,                 0.7624,                0.59347,                0.69201,                0.25768,                 2.1291,                 1.2969,                 1.4702,               0.000731,               0.000731,               0.000731
                     42,                 1.4648,                 0.7714,                 1.1311,                0.86809,                0.72047,                0.83108,                0.38271,                 1.8298,                 1.1432,                 1.3196,             0.00071448,             0.00071448,             0.00071448
                     43,                 1.4521,                0.77161,                 1.1082,                0.75762,                0.59724,                0.72691,                0.28491,                 2.0753,                 1.2116,                 1.4467,             0.00069782,             0.00069782,             0.00069782
                     44,                 1.3947,                0.72591,                 1.0903,                0.82163,                0.74304,                0.84825,                0.37553,                 1.8854,                0.98153,                 1.3718,             0.00068102,             0.00068102,             0.00068102
                     45,                 1.4069,                0.74551,                 1.1192,                0.77265,                0.70687,                0.81765,                0.34682,                 1.9502,                 1.0337,                 1.3963,              0.0006641,              0.0006641,              0.0006641
                     46,                 1.3843,                0.73781,                 1.0958,                0.76813,                0.71702,                0.79339,                0.34851,                 1.9038,                0.93101,                 1.3758,             0.00064709,             0.00064709,             0.00064709
                     47,                 1.4157,                0.74932,                  1.113,                0.85633,                0.77568,                0.85691,                0.39368,                 1.8239,                0.87855,                 1.3277,             0.00062998,             0.00062998,             0.00062998
                     48,                 1.3628,                0.71748,                 1.0968,                0.82907,                0.73073,                0.77913,                0.32747,                 2.0412,                 1.0126,                  1.445,             0.00061281,             0.00061281,             0.00061281
                     49,                 1.3687,                0.72003,                 1.0715,                0.84849,                0.73849,                0.79612,                0.33699,                 2.0617,                0.95628,                 1.4421,             0.00059559,             0.00059559,             0.00059559
                     50,                 1.3896,                0.74222,                 1.0796,                0.81968,                0.74487,                0.80401,                0.34082,                 1.9707,                0.92917,                 1.4114,             0.00057833,             0.00057833,             0.00057833
                     51,                 1.4004,                0.74559,                 1.1096,                 0.8462,                0.79439,                0.83755,                0.39353,                 1.8213,                0.85761,                  1.312,             0.00056106,             0.00056106,             0.00056106
