                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6369,                 4.7625,                 2.1362,                0.07768,                0.04872,                0.03873,                0.01379,                 2.1177,                  3.973,                 1.7236,              6.666e-05,              6.666e-05,              6.666e-05
                      2,                 2.2643,                 3.5438,                 1.8061,                0.51254,                0.21519,                 0.2044,                0.10121,                 1.6632,                 3.4779,                 1.4069,             0.00014441,             0.00014441,             0.00014441
                      3,                 1.7706,                 2.1199,                 1.4041,                0.34002,                0.53189,                0.33415,                0.15475,                  1.729,                 2.7402,                 1.4332,              0.0002221,              0.0002221,              0.0002221
                      4,                 1.6026,                  1.613,                 1.3459,                0.37086,                0.27711,                0.25281,                0.12309,                 1.6517,                 2.6056,                 1.3501,             0.00029968,             0.00029968,             0.00029968
                      5,                  1.568,                 1.4109,                 1.3034,                0.35428,                0.34474,                0.27724,                0.13162,                 1.7938,                 2.5291,                 1.4378,             0.00037708,             0.00037708,             0.00037708
